,,,,,,,,,Hs_Own,P-List,P_PLow,Ck_Finish,Frq_Cking,Red_Int,TL_Red_Int,Int_CK_Finsh,Frq_PP,PcVmoney,Ef_FdW_Env,Wcost.mney_Me,Fd_Nwsted,R_Fd_Resp,Fd_Nwst_HH,Wst_Guilt,RB_Fd_Nwst,FdW_Avd,R_FdW_Bdt,E_Lftover,Av-Price,hs2,Wst_Guilt_2,Red_Int_2,Frq_FdW,Self-Reported,Direct Weighed
HFIMI,HFS_ADLT,FDW,Gen_Hed,Age-Hed,Edu_Hed,Marital_Hed,HH_Size,Income_Hed,Hs_Own,P-List,P_PLow,Cook_fn,Cook_frq,Redc_Int,TL_Redc_int,Int_Cook_fn,Purch_frq,PV_Money,Eff_Env,Cost_mny,Fd_nt_sted,Redc_Resp,Fd_nt_hh,Fl_guilt,Rzd.b_Nw,FdW_Avd,Rdc_Bdt,Eat_lftv,Av-Price,hs2,Wst_Guilt_2,Red_Int_2,Frq_FdW,Self_rp,Direct_wd
0.6693541,0.190157415,3,1,61,11,1,5,2,1,2,1,2,2,3,2,3,4,1,0,0,3,3,3,1,4,3,3,1,7000,4,0,1,2,0.004,0.838
0.5940633,0.170707845,3,1,59,7,1,4,1,1,2,3,2,3,3,2,3,3,1,1,1,3,3,2,3,2,3,3,0,5000,4,1,1,2,0.008,0.1172
0.6891371,0.177612655,1,1,38,10,1,5,1,1,2,3,2,3,3,1,3,3,2,1,1,3,1,3,3,1,3,3,1,7000,5,1,1,2,0.009,0.0496
0.5361681,0.130137888,3,1,78,6,1,5,1,1,1,3,2,3,3,0,3,4,1,0,1,3,3,3,3,3,3,3,1,4000,5,1,1,2,0.007,0.117
0.7765265,0.329036653,2,0,28,10,0,3,1,0,0,1,2,2,1,4,4,3,1,0,1,2,1,2,3,4,4,1,1,2500,3,1,0,1,0.016,0.0726
0.5914859,0.168035767,7,1,50,7,1,5,1,1,2,1,2,3,1,2,3,5,1,1,1,3,3,3,3,1,3,4,1,4000,4,1,0,2,0.001,0.136
0.5618882,0.15962733,3,1,41,7,1,4,1,1,2,4,2,3,3,3,2,3,2,1,1,3,3,3,4,3,2,3,1,6000,4,1,1,2,0.01,0.0848
0.5949027,0.181372774,3,1,45,11,1,4,2,0,2,1,2,3,3,3,3,3,2,1,1,3,3,0,1,3,3,3,1,5000,4,0,1,2,0.026,0.32
0.5791526,0.178750802,2,0,50,8,0,4,2,1,2,2,2,2,3,1,2,3,1,0,1,3,3,2,3,3,3,3,1,4000,4,1,1,2,0.039,0.0614
0.500366,0.072727616,7,1,73,13,1,9,1,1,1,1,1,3,3,2,3,5,1,1,1,2,3,0,0,3,2,1,1,7000,9,0,1,2,0.034,0.077
0.5584957,0.249328438,1,1,60,10,1,5,1,1,2,4,2,3,3,2,3,5,1,1,1,2,3,2,0,3,3,4,1,6000,3,0,1,2,0.01,0.42
